rep,n,d,p,sq,vol,area,dist,step
50000,3,1,0.4300000000000002,579765,209428,799616,34957.80314706326,92282
50000,3,1,0.4400000000000002,593772,221444,839652,36001.812342208075,95628
50000,3,1,0.45000000000000023,607560,235191,885916,37048.587742257325,98926
50000,3,1,0.46000000000000024,620703,246950,923754,37930.835403316916,101422
50000,3,1,0.47000000000000025,633805,263705,980710,39437.266239682154,106066
50000,3,1,0.48000000000000026,648401,277478,1023934,40303.535236714015,108726
50000,3,1,0.49000000000000027,661188,290735,1066280,41199.39676768958,112015
50000,3,1,0.5000000000000002,674549,304616,1109566,42260.77530226192,114728
50000,3,1,0.5100000000000002,687960,319496,1154746,43112.7923444129,117075
50000,3,1,0.5200000000000002,701860,334752,1200088,43976.32249106086,119916
50000,3,1,0.5300000000000002,715377,350579,1248672,44959.5044413247,123023
50000,3,1,0.5400000000000003,728874,366749,1298132,45996.68153388429,126104
50000,3,1,0.5500000000000003,742584,385188,1351980,47228.822279428954,129666
50000,3,1,0.5600000000000003,756113,401369,1397228,48079.278062618876,131639
50000,3,1,0.5700000000000003,770140,418453,1445128,48912.1196481496,134427
50000,3,1,0.5800000000000003,783592,433655,1486456,49702.12260719039,136490
50000,3,1,0.5900000000000003,797971,452959,1538498,50697.92595590438,139104
50000,3,1,0.6000000000000003,809876,468612,1581036,51574.222656599966,141318
50000,3,1,0.6100000000000003,823631,490411,1640778,52842.30792743003,144546
50000,3,1,0.6200000000000003,835523,503299,1670156,53296.80100092205,145593
50000,3,1,0.6300000000000003,849888,520800,1712682,54046.50419976043,147427
50000,3,1,0.6400000000000003,864583,541900,1763838,55059.05737925276,149351
50000,3,1,0.6500000000000004,877761,563489,1816402,56198.65723389452,151799
50000,3,1,0.6600000000000004,890551,582803,1862922,57240.07629025467,154453
50000,3,1,0.6700000000000004,903468,598740,1896572,57842.50873425611,155449
50000,3,1,0.6800000000000004,917930,621183,1946290,58889.188940231936,157148
50000,3,1,0.6900000000000004,931260,640152,1986672,59737.07560818249,159085
50000,3,1,0.7000000000000004,944195,658601,2020264,60478.539618193136,159741
50000,3,1,0.7100000000000004,958135,680512,2065634,61546.92923730179,161876
50000,3,1,0.7200000000000004,971977,702402,2108242,62490.5326019188,163359
50000,3,1,0.7300000000000004,984495,716683,2131320,62951.99016754047,164033
50000,3,1,0.7400000000000004,999016,741635,2177764,64103.66108999414,165879
50000,3,1,0.7500000000000004,1012414,763094,2215660,65052.046393471515,167355
50000,3,1,0.7600000000000005,1025352,779002,2236152,65522.11432507827,167723
50000,3,1,0.7700000000000005,1039735,804721,2277640,66672.92811210873,169239
50000,3,1,0.7800000000000005,1054969,828988,2317136,67703.40196629245,170815
50000,3,1,0.7900000000000005,1067204,847905,2343334,68469.70047404354,171972
50000,3,1,0.8000000000000005,1079462,865574,2362252,69079.38235830625,172429
50000,3,1,0.8100000000000005,1092909,888938,2396398,70047.59875973481,173978
50000,3,1,0.8200000000000005,1107081,916523,2436744,71320.65610329474,175756
50000,3,1,0.8300000000000005,1120192,936089,2455044,71970.17515613143,176389
50000,3,1,0.8400000000000005,1133325,955586,2473526,72628.35446300595,176971
50000,3,1,0.8500000000000005,1146980,979542,2501592,73567.12600070592,178419
50000,3,1,0.8600000000000005,1160822,1001526,2521052,74356.94116895534,179349
50000,3,1,0.8700000000000006,1174174,1026709,2546658,75373.65499299571,180755
50000,3,1,0.8800000000000006,1188110,1048065,2558916,76054.35096036857,181526
